layer	n_heads	n_with_qk	n_with_ov	top_qk_query	top_qk_key	top_ov_reads	top_ov_writes
0	10	5	10	, (5) | \\)(2) | )", (2) | {(1) | ((1)	が(2) | を(2) | ных(2) | 到(2) | <｜fim▁begin｜>(1)	, (7) | xxxxxxxx(3) | ный(3) | Administ(2) | у(2)	tes(10) | jana(10) | tene(9) | hyp(7) | 原地(6)
1	11	0	11			, (15) |  The(2) | }}^{\\', (2) | 超级(1) | 有机(1)	tes(11) | 上当(11) | alal(10) | pone(8) | tene(6)
2	29	0	29			, (29) | ((((4) | ^{((4) | About(3) | , "(2)	tes(29) | 上当(29) | tene(28) | alal(16) | 客(15)
3	21	8	21	_st(8) | _un(8) | /l(6) | _sc(5) | <｜▁pad▁｜>(5)	536(1) | 玲(1) | 528(1) | 918(1) | 928(1)	, (4) | 443(2) | �(2) | {array(2) | 劳(1)	alal(20) | tes(20) | 上当(19) | prim(17) | Prim(15)
4	69	69	10	 Different(62) |  differing(62) |  diferentes(48) | unsigned(46) |  different(45)	, (15) | >
(8) | ;
(6) | '.
(6) | ،(5)	, (20) | How(2) |  Java(1) |  coli(1) | Java(1)	alal(10) | tes(10) | prim(9) | fet(9) | alles(9)
5	79	32	71	_d(26) | _D(23) | , (21) | __((21) | \({}^{-(14)	 \<(4) | ﹣(3) |  italic(3) | -tion(3) |  RowBox(3)	�(8) |  �(5) | superscript�(5) | , (4) | Ben(3)	alal(71) | anner(71) | 拔出(71) | estro(70) | Tes(37)
6	58	20	54	original(12) | }[]{(12) | _T(12) | ा�(10) | /sh(10)	, (3) | 最(2) | 整个(2) |  completely(2) |  Hol(1)	, (7) | Short(3) |  Short(3) | How(3) |  How(3)	 insider(54) | rino(54) | alal(53) | uffy(53) | anner(48)
7	41	34	22	 Dennis(14) |  scattering(11) |  Pierce(10) | .Back(10) |  judicial(9)	 italic(3) | /+(2) | fff(2) |       (2) | 年夜(2)	, (18) | \[(3) | 数学(2) |  italic(2) | \displaystyle(2)	alal(20) | anner(20) | rino(20) | tes(17) | uve(13)
8	29	13	28	################(9) | ハ(8) |  adapt(6) |  formatted(6) | �(5)	, (12) |  !=(2) | Jl(2) |  các(1) |  những(1)	, (28) |                                                (2) |                                          (2) |  /**
(2) |          (2)	rino(28) | 典型案例(28) | 节省(25) | alles(23) | alal(17)
9	12	12	10	Sem(10) | isz(9) | __((7) |  Са(7) | -disable(7)	kk(3) | MX(2) | Gn(2) | Cd(2) | Az(2)	, (4) | 492(3) | JJ(2) | /+(2) | HH(1)	anner(10) | 节省(10) | estro(8) | rino(7) | oba(6)
10	24	24	10	, (16) | 银行(12) | 蛋白(12) | }\)-(10) | \({}_{\(10)	数学(3) | }}\(2) | }\(2) | }}\)(2) | 烟草(1)	 Florida(1) | 郭(1) |  Jem(1) |  polynomial(1) | 改革开放(1)	中间(9) | 高分(9) | 不知道怎么(8) |  legends(8) | 节省(8)
11	10	10	10	 embodiments(7) | 糯米(5) | 火车(5) | �(5) |  indeed(5)	, (11) | 分布式(1) | 运算符(1) | Length(1) | emory(1)	, (12) |  Care(1) | /lang(1) |  loved(1) |  NF(1)	alal(10) | 不知道怎么(10) | 失败的(10) | 漱(8) | wald(7)
12	15	15	10	, (10) | ))))(8) |  rend(7) | 𝑚(5) | .dao(5)	�(2) | 980(1) | Hg(1) | HM(1) | Dh(1)	, (6) | ZK(2) | lh(1) | VF(1) | kh(1)	 wel(9) | 通的(7) |  Span(7) | Span(6) | 通(6)
