M1 Token Census — Layer 4
================================================================================

Dir 0 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
…                                 123  96.1%
[[                                122  95.3%
                                  116  90.6%
****                              115  89.8%
~~                                111  86.7%
https                             110  85.9%
 /*                               109  85.2%
@                                 108  84.4%
\u3000                            108  84.4%
\\({}^{\\                         105  82.0%
～                                 104  81.2%
../                               104  81.2%
Å                                 100  78.1%
這                                 100  78.1%
~                                  99  77.3%
../../                             99  77.3%
www                                98  76.6%
{{                                 97  75.8%
~~~~                               94  73.4%
Footnote                           90  70.3%
 [[                                87  68.0%
‑                                  73  57.0%
957                                68  53.1%
***                                68  53.1%
�                                  61  47.7%
/*                                 58  45.3%
??                                 55  43.0%
◎                                  52  40.6%
                                   51  39.8%
cf                                 49  38.3%
``                                 49  38.3%
/**                                48  37.5%
JJ                                 46  35.9%
\\                                 40  31.2%
95                                 36  28.1%
″                                  35  27.3%
 ~~                                34  26.6%
305                                33  25.8%
                                   30  23.4%
―                                  28  21.9%
\\(-\\)                            25  19.5%
▼                                  25  19.5%
 ‘‘                                24  18.8%
113                                24  18.8%
▲                                  24  18.8%
chat                               23  18.0%
Ch                                 23  18.0%
 {{                                21  16.4%
143                                20  15.6%
.ch                                19  14.8%

Dir 1 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
 O                                110  85.9%
-O                                 93  72.7%
 Op                                90  70.3%
 U                                 87  68.0%
Vol                                85  66.4%
OP                                 83  64.8%
EO                                 74  57.8%
O                                  73  57.0%
{O                                 68  53.1%
_op                                64  50.0%
女人                                 58  45.3%
Op                                 54  42.2%
.ch                                52  40.6%
 ch                                52  40.6%
RO                                 51  39.8%
С                                  50  39.1%
_O                                 50  39.1%
▲                                  49  38.3%
Ω                                  49  38.3%
О                                  48  37.5%
 OP                                46  35.9%
柯                                  43  33.6%
sch                                40  31.2%
Р                                  38  29.7%
远                                  37  28.9%
_R                                 34  26.6%
list                               34  26.6%
UV                                 34  26.6%
 Over                              33  25.8%
EP                                 33  25.8%
达                                  33  25.8%
 Os                                32  25.0%
OG                                 32  25.0%
OF                                 31  24.2%
 E                                 30  23.4%
U                                  29  22.7%
 daughter                          28  21.9%
 mother                            27  21.1%
RU                                 27  21.1%
UU                                 25  19.5%
▼                                  25  19.5%
達                                  24  18.8%
OO                                 22  17.2%
XP                                 22  17.2%
~                                  22  17.2%
 ingredient                        21  16.4%
淑                                  21  16.4%
女生                                 21  16.4%
UE                                 21  16.4%
@                                  20  15.6%

Dir 2 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
／                                  66  51.6%
OG                                 44  34.4%
-D                                 44  34.4%
迪                                  41  32.0%
 O                                 39  30.5%
-H                                 36  28.1%
-F                                 36  28.1%
OC                                 35  27.3%
 num                               35  27.3%
OP                                 34  26.6%
-O                                 33  25.8%
046                                31  24.2%
-P                                 29  22.7%
 Op                                27  21.1%
nb                                 27  21.1%
_G                                 27  21.1%
Ch                                 26  20.3%
045                                26  20.3%
О                                  25  19.5%
_r                                 25  19.5%
nn                                 24  18.8%
淑                                  23  18.0%
 ch                                23  18.0%
 Ch                                23  18.0%
 At                                23  18.0%
:                                  22  17.2%
★                                  22  17.2%
642                                21  16.4%
 U                                 21  16.4%
O                                  20  15.6%
Op                                 20  15.6%
Vol                                20  15.6%
EP                                 19  14.8%
.ch                                19  14.8%
 ...,                              19  14.8%
Ｏ                                  18  14.1%
EO                                 18  14.1%
——《                                18  14.1%
 Ne                                18  14.1%
UU                                 18  14.1%
珍                                  17  13.3%
敬                                  17  13.3%
643                                17  13.3%
 std                               17  13.3%
0                                  16  12.5%
_op                                16  12.5%
崇                                  16  12.5%
-G                                 16  12.5%
OD                                 15  11.7%
Р                                  15  11.7%

Dir 3 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
 At                                30  23.4%
 Get                               25  19.5%
／                                  25  19.5%
At                                 25  19.5%
108                                24  18.8%
 Hand                              20  15.6%
Draw                               19  14.8%
 Hunt                              17  13.3%
OC                                 16  12.5%
 Without                           16  12.5%
Op                                 16  12.5%
318                                15  11.7%
035                                15  11.7%
 Ne                                15  11.7%
 !=                                15  11.7%
泉                                  15  11.7%
 No                                15  11.7%
�                                  14  10.9%
 religious                         14  10.9%
OG                                 13  10.2%
 Draw                              13  10.2%
\ufeff                             13  10.2%
 St                                12   9.4%
伊                                  12   9.4%
045                                12   9.4%
 Sim                               12   9.4%
-D                                 12   9.4%
Call                               12   9.4%
tmp                                12   9.4%
Ut                                 12   9.4%
 Set                               11   8.6%
_G                                 11   8.6%
036                                11   8.6%
304                                11   8.6%
Qt                                 11   8.6%
433                                11   8.6%
 On                                11   8.6%
ガ                                  10   7.8%
-H                                 10   7.8%
 Не                                10   7.8%
-F                                 10   7.8%
-P                                 10   7.8%
OP                                 10   7.8%
642                                10   7.8%
313                                10   7.8%
 Ut                                10   7.8%
 Over                              10   7.8%
 Op                                10   7.8%
