M2 Token Census — Layer 5
================================================================================

Dir 0 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
_d                                124  96.9%
}(\\                              124  96.9%
__(                               120  93.8%
\xa0\xa0\xa0                      117  91.4%
_D                                116  90.6%
\\({}^{-                          115  89.8%
 easily                           110  85.9%
_B                                110  85.9%
，”                                110  85.9%
 many                             109  85.2%
 next                             106  82.8%
(\n                               103  80.5%
 own                               93  72.7%
 more                              92  71.9%
:                                  86  67.2%
‟                                  79  61.7%
 several                           77  60.2%
.Un                                74  57.8%
_T                                 72  56.2%
 idea                              71  55.5%
(_                                 70  54.7%
れ                                  70  54.7%
 ()\n                              70  54.7%
}\\]                               67  52.3%
 previous                          60  46.9%
((                                 59  46.1%
!)                                 56  43.8%
 latest                            56  43.8%
 recent                            56  43.8%
-P                                 55  43.0%
-B                                 55  43.0%
\\mathbb                           55  43.0%
_or                                50  39.1%
_V                                 49  38.3%
_POSTSUBSCRIPT                     47  36.7%
 another                           44  34.4%
 possible                          44  34.4%
 original                          43  33.6%
 existing                          41  32.0%
-O                                 40  31.2%
，\n                                39  30.5%
(()                                35  27.3%
                                   32  25.0%
 additional                        29  22.7%
只有                                 27  21.1%
 follow                            25  19.5%
\\)-                               24  18.8%
)\\]                               23  18.0%
>\\                                20  15.6%
                                   20  15.6%

Dir 1 — Top tokens by head frequency:
Token                          #Heads      %
--------------------------------------------
                                  101  78.9%
{table                             90  70.3%
 \n                                79  61.7%
>\n\n                              75  58.6%
>\n                                73  57.0%
\n                                 72  56.2%
 \\({\\                            66  51.6%
;\n                                65  50.8%
({\n                               64  50.0%
(\n                                63  49.2%
>\n                                59  46.1%
}\\]                               58  45.3%
 \\(|                              46  35.9%
，\n\n                              46  35.9%
,\n                                45  35.2%
>>>>                               44  34.4%
，\n                                43  33.6%
:\n\n                              42  32.8%
 YOUR                              41  32.0%
]:\n\n                             41  32.0%
\n\n                               39  30.5%
(\n\n                              39  30.5%
:\n                                31  24.2%
,\n                                29  22.7%
\\)\n\n                            29  22.7%
\n                                 29  22.7%
\\).\n\n                           28  21.9%
：\n\n                              28  21.9%
�                                  27  21.1%
                                   27  21.1%
\\({}_{                            27  21.1%
 some                              26  20.3%
()\n\n                             26  20.3%
 their                             25  19.5%
 {\n                               24  18.8%
()\n                               24  18.8%
 additional                        22  17.2%
 each                              22  17.2%
 (_                                22  17.2%
,\n\n                              21  16.4%
_\n\n                              21  16.4%
