================================================================================
Model: M2
Layer: 50
Stacked OV circuit (127/128 heads aligned >0.7 with head 77)
Avg head coherence: 0.936
Sigmas: [2.2033, 1.3298, 0.8726, 0.3535, 0.2231]
================================================================================

OUTPUT tokens (Dir 0, through lm_head):
 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Short                         -1.3324     -0.8002     -0.0187
    2  short                         -1.2719     -0.6251     +0.0223
    3  Short                         -1.2361     -0.8364     -0.0096
    4  ->                            -1.1358     -0.4730     -0.1948
    5  短                             -1.1130     -0.6006     -0.0116
    6  short                         -1.1054     -0.6605     +0.0562
    7  subgroup                      -1.0765     +0.0551     -0.0499
    8  .short                        -1.0748     -0.6099     +0.0454
    9  корот                         -1.0477     -0.5951     +0.1322
   10  shortcut                      -1.0352     -0.4008     +0.0303
   11  Sketch                        -0.9919     +0.1346     -0.0465
   12  sketch                        -0.9678     +0.1777     -0.0636
   13  shorts                        -0.9399     -0.3797     -0.0720
   14  shortcuts                     -0.9395     -0.2199     -0.0087
   15  ‑                             -0.9308     -0.5165     -0.1002
   16  favorite                      -0.9154     -0.1084     -0.2961
   17  subgroups                     -0.9064     +0.0631     -0.0872
   18  Chain                         -0.8833     +0.0817     +0.2055
   19  preference                    -0.8657     -0.0265     -0.1038
   20  是什么样的                         -0.8290     -0.2267     -0.0520
   21  YK                            +0.8276     -0.1097     -0.0378
   22  chain                         -0.8130     +0.1808     +0.1853
   23  Favorite                      -0.8101     -0.1700     -0.2244
   24  Chain                         -0.8089     +0.2363     +0.2365
   25  Closing                       -0.8080     -0.2871     -0.0595
   26  "Why                          -0.8078     +0.1264     -0.0120
   27  shorthand                     -0.8028     -0.1379     +0.0036
   28  preferred                     -0.8017     -0.0921     -0.1722
   29  hort                          -0.8003     -0.3394     -0.0739
   30  favorites                     -0.7930     -0.1535     -0.3465

INPUT tokens (Dir 0, through kv_a → embed):
 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  625                           +1.6154     -0.0043     -0.0703
    2  362                           +1.4097     -0.3013     -0.0239
    3  585                           +1.3312     +0.0135     +0.1307
    4  618                           +1.3223     +0.1361     -0.2796
    5  Gal                           +1.3069     -0.3032     -0.1803
    6  355                           +1.2946     +0.3057     +0.3943
    7  62                            +1.2784     -0.2885     -0.0216
    8  297                           +1.2766     +0.3012     -0.1857
    9  617                           +1.2691     +0.1765     -0.1681
   10  136                           -1.2622     +0.0184     -0.0552
   11  626                           +1.2487     -0.0521     +0.0504
   12  522                           +1.2109     +0.0908     -0.0195
   13  Bruce                         -1.2091     -0.3201     -0.1024
   14  352                           +1.1999     +0.5200     -0.0409
   15  620                           +1.1996     -0.0305     -0.0653
   16  57                            +1.1840     -0.0053     +0.1003
   17  627                           +1.1802     +0.1913     -0.0398
   18  兰                             +1.1709     -0.1324     +0.0547
   19  577                           +1.1410     +0.2504     -0.1111
   20  357                           +1.1365     +0.3176     +0.0234
   21  945                           +1.1278     +0.1017     +0.1056
   22  225                           +1.1221     -0.1390     -0.1077
   23  353                           +1.1204     +0.4173     +0.1466
   24  发放                            +1.1115     -0.0136     -0.0209
   25  浩                             -1.1061     +0.4636     -0.1840
   26  ζ                             +1.0985     -0.0593     -0.0018
   27  DEF                           -1.0929     +0.0554     -0.1927
   28  芯                             -1.0875     +0.0712     -0.0685
   29  578                           +1.0860     +0.2834     -0.0793
   30  驱                             -1.0744     -0.1962     -0.0719

OUTPUT tokens (Dir 1):
    1  Short                      d1=   -0.8364
    2  (‘                         d1=   -0.8208
    3  Short                      d1=   -0.8002
    4  short                      d1=   -0.6605
    5  short                      d1=   -0.6251
    6  .short                     d1=   -0.6099
    7  known                      d1=   +0.6030
    8  短                          d1=   -0.6006
    9  (“                         d1=   -0.6003
   10  quadratic                  d1=   +0.5955
   11  корот                      d1=   -0.5951
   12  Fundamental                d1=   +0.5859
   13  Quadratic                  d1=   +0.5740
   14  nested                     d1=   +0.5682
   15  [filtered]                 d1=   +0.5593
   16  短期                         d1=   -0.5571
   17  ‘                          d1=   -0.5373
   18  sits                       d1=   +0.5201
   19  fundamental                d1=   +0.5167
   20  ‑                          d1=   -0.5165
