================================================================================
Model: M3
Layer: 30
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.607, 2.482, 1.956]
Frob: 6.04
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  rusty                         -0.3839     -0.0888     +0.1770
    2  Informal                      -0.3832     -0.0400     -0.0452
    3  Cow                           +0.3563     -0.1137     -0.0195
    4  Verified                      -0.3507     -0.1174     -0.0148
    5  verified                      -0.3480     -0.0839     -0.0723
    6  favoring                      -0.3445     -0.1077     +0.0500
    7  arena                         -0.3441     +0.0262     -0.0820
    8  Verb                          -0.3428     +0.0195     +0.0370
    9  凰                             -0.3368     +0.0140     -0.0665
   10  velle                         -0.3342     -0.0157     +0.0564
   11  Cow                           +0.3314     -0.1899     +0.0527
   12  核查                            -0.3308     -0.1708     -0.0922
   13  下一刻                           -0.3268     -0.0733     -0.0144
   14  omba                          -0.3200     -0.0255     +0.0362
   15  inconsistent                  -0.3183     +0.0219     -0.0211
   16  pleasantly                    -0.3178     +0.0545     +0.1517
   17  relationship                  -0.3147     +0.0909     -0.0083
   18  protests                      +0.3147     -0.1007     -0.1363
   19  osi                           -0.3147     -0.0949     +0.0725
   20  看清楚                           -0.3135     +0.0900     +0.1004
   21  repr                          +0.3105     -0.0364     -0.0694
   22  考试                            +0.3105     +0.0911     -0.0851
   23  Neighborhood                  -0.3096     -0.0643     -0.1076
   24  zest                          -0.3095     -0.0097     -0.1097
   25  verb                          -0.3078     +0.0129     +0.0078
   26  照顧                            -0.3077     -0.0757     +0.0316
   27  Arena                         -0.3075     -0.0357     -0.0787
   28  informal                      -0.3066     +0.0026     +0.0205
   29  Ready                         -0.3055     -0.0147     +0.1620
   30  变得越来越                         -0.3050     -0.1164     -0.1586
