================================================================================
Model: M2
Layer: 54
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.594, 0.904, 0.699]
Frob: 3.43
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.6414     +0.8417     +0.1257
    2  analytic                      +0.5049     -0.1476     +0.2611
    3  cyclic                        +0.4872     -0.3056     +0.1742
    4  -cycle                        +0.4537     -0.3083     -0.0262
    5  一會兒                           +0.4285     +0.0912     -0.0729
    6  Analytic                      +0.4214     -0.0523     +0.2871
    7  一会儿                           +0.4172     +0.0514     -0.1246
    8  exactly                       +0.4157     -0.1170     +0.1801
    9  refinement                    +0.4134     -0.0740     +0.4000
   10  formed                        +0.4080     -0.0924     +0.0209
   11  refine                        +0.3855     -0.1102     +0.2761
   12  analytic                      +0.3848     -0.1429     +0.3341
   13  pick                          +0.3837     +0.1493     -0.0600
   14  analytical                    +0.3807     -0.1268     +0.1436
   15  抽                             -0.3803     +0.1566     -0.0240
   16  -formed                       +0.3768     -0.1290     +0.0075
   17  refined                       +0.3767     +0.0187     +0.3963
   18  realization                   +0.3735     -0.2520     -0.0403
   19  Abel                          +0.3722     -0.0119     -0.1655
   20  Passing                       +0.3677     -0.2586     -0.0264
   21  possível                      +0.3670     -0.0611     +0.1599
   22  滋                             -0.3662     +0.0438     -0.1001
   23  decompose                     +0.3584     -0.1472     +0.2185
   24  Cycle                         +0.3571     -0.3696     +0.0362
   25  nested                        +0.3565     -0.2264     +0.0737
   26  jung                          -0.3513     +0.1449     +0.0503
   27  reconciled                    +0.3512     -0.0720     +0.1004
   28  built                         +0.3503     -0.0342     -0.0393
   29  形成一个                          +0.3496     -0.1288     +0.0199
   30  uilt                          +0.3493     +0.0251     +0.0144
