================================================================================
Model: M1
Layer: 21
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.565, 1.158, 0.848]
Frob: 3.65
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  盖上                            -0.3976     -0.0382     -0.1020
    2  /pm                           -0.3952     -0.0013     +0.1112
    3  ela                           -0.3872     -0.0731     +0.0399
    4  lest                          +0.3701     +0.0212     -0.0194
    5  盖                             -0.3614     -0.0835     +0.0824
    6  -dr                           -0.3580     -0.0129     -0.0393
    7  伏                             -0.3508     +0.1536     -0.0666
    8  Latitude                      -0.3506     -0.0860     -0.0070
    9  coordinator                   -0.3468     -0.0727     +0.0526
   10  Lai                           +0.3371     +0.0456     +0.0098
   11  Grig                          +0.3369     +0.0844     -0.1341
   12  yrus                          +0.3350     -0.0192     +0.1032
   13  -leg                          -0.3342     -0.0554     +0.0783
   14  ORE                           +0.3321     -0.0467     +0.0341
   15  加盖                            -0.3321     -0.0775     +0.0108
   16  Koch                          -0.3282     +0.0961     +0.0123
   17  ensit                         +0.3269     +0.1321     -0.0484
   18  蓋                             -0.3267     -0.1115     +0.0567
   19  dishonest                     -0.3253     +0.0727     -0.1253
   20  -dig                          -0.3202     +0.0012     -0.0404
   21  之年                            -0.3199     -0.0301     -0.0434
   22  本法                            -0.3194     +0.1987     +0.0705
   23  DC                            -0.3185     +0.0759     -0.1974
   24  arke                          -0.3184     +0.1887     -0.0160
   25  Yeh                           +0.3183     +0.1403     +0.0099
   26  akos                          -0.3177     -0.0567     +0.0477
   27  -ly                           +0.3175     -0.2055     -0.0004
   28  cast                          +0.3174     +0.0611     +0.0968
   29  ugu                           +0.3174     -0.0639     +0.0435
   30  960                           -0.3163     -0.0618     -0.1016
