================================================================================
Model: M3
Layer: 54
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [5.271, 1.957, 1.789]
Frob: 7.06
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  REF                           -0.5553     -0.2301     -0.1605
    2  DEN                           -0.5493     +0.0704     +0.1165
    3  FOR                           -0.5347     +0.0317     +0.1040
    4  APPRO                         -0.5023     -0.1668     +0.0612
    5  #1                            -0.5009     -0.5861     +0.1793
    6  personalized                  +0.4453     +0.1633     +0.0340
    7  concepts                      +0.4352     -0.0475     -0.0897
    8  ENER                          -0.4282     +0.1592     -0.1909
    9  styles                        +0.4255     +0.1864     -0.0506
   10  air                           -0.4112     +0.0383     +0.3246
   11  displays                      +0.4038     +0.1190     -0.0322
   12  _for                          -0.4017     +0.0693     -0.0016
   13  энер                          -0.4001     +0.1405     -0.0981
   14  FOR                           -0.3993     -0.0316     +0.0358
   15  air                           -0.3992     -0.0207     +0.3676
   16  ideas                         +0.3974     -0.0381     -0.0154
   17  AIR                           -0.3964     -0.0511     +0.1219
   18  能量                            -0.3851     +0.1004     -0.0200
   19  conceptions                   +0.3831     -0.0375     +0.0925
   20  возду                         -0.3827     -0.0163     +0.1532
   21  Den                           -0.3816     +0.1359     +0.1104
   22  ideas                         +0.3800     -0.0648     -0.1118
   23  energy                        -0.3794     +0.1921     -0.0942
   24  Ideas                         +0.3788     +0.0409     -0.1095
   25  DEN                           -0.3768     +0.0380     +0.0690
   26  detrimental                   -0.3766     +0.0748     +0.0714
   27  时刻                            -0.3764     -0.0593     -0.1054
   28  bike                          -0.3754     +0.0090     -0.2517
   29  gra                           -0.3753     +0.1026     -0.0607
   30  地回答                           +0.3749     +0.0165     +0.0442
