================================================================================
Model: M2
Layer: 44
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.325, 0.830, 0.360]
Frob: 3.01
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.3741     +0.1442     -0.3619
    2  Comprehens                    -0.3673     -0.0824     +0.0689
    3  Sym                           +0.3556     -0.1138     +0.1795
    4  #77469                        +0.3478     -0.0118     +0.0329
    5  shortest                      -0.3428     +0.0912     -0.2708
    6  sten                          -0.3400     -0.0644     -0.1253
    7  sympath                       +0.3399     -0.0028     +0.0594
    8  convertion                    +0.3337     -0.0812     -0.0762
    9  之势                            +0.3309     -0.0444     -0.1676
   10  的那个                           +0.3287     +0.1309     +0.0698
   11  longest                       -0.3270     -0.1016     -0.0825
   12  checklist                     +0.3231     +0.0292     -0.1901
   13  geri                          -0.3224     +0.0034     +0.0493
   14  Greatest                      -0.3220     +0.0065     -0.1086
   15  brochure                      +0.3204     +0.0932     -0.0380
   16  comprehens                    -0.3189     +0.0080     +0.1107
   17  ossal                         -0.3167     -0.0854     -0.0147
   18  遇到了                           -0.3153     +0.0194     +0.0177
   19  债                             +0.3139     -0.0618     +0.0257
   20  converted                     +0.3115     -0.1348     +0.0022
   21  prol                          -0.3107     +0.0115     -0.0531
   22  大惊                            -0.3099     -0.0210     +0.0207
   23  Remarks                       +0.3073     +0.0307     -0.2457
   24  很多事情                          -0.3067     +0.1631     +0.1287
   25  那几个                           +0.3066     +0.1209     -0.0969
   26  apers                         -0.3059     +0.0753     +0.0603
   27  lymp                          -0.3025     +0.1411     +0.0157
   28  Lus                           +0.3013     +0.0563     +0.0433
   29  fw                            -0.3012     +0.0128     -0.0152
   30  adequ                         -0.2972     -0.2104     +0.0081
