================================================================================
Model: M1
Layer: 37
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.113, 1.861, 1.084]
Frob: 4.57
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Sud                           +0.4012     -0.0508     +0.0487
    2  在全                            +0.3972     +0.0584     +0.2185
    3  olia                          -0.3876     +0.0058     +0.0656
    4  worth                         -0.3523     +0.0349     +0.0722
    5  及各                            +0.3475     -0.1219     +0.0738
    6  Vir                           -0.3465     -0.0539     -0.0060
    7  在国家                           +0.3452     +0.1052     -0.0164
    8  和各                            +0.3423     -0.0921     +0.0726
    9  ogn                           -0.3417     -0.0410     -0.0394
   10  вя                            -0.3350     +0.0899     +0.0261
   11  各地                            +0.3341     -0.0452     +0.1062
   12  这样就可以                         -0.3336     -0.0379     -0.1486
   13  yma                           -0.3332     +0.1279     -0.0710
   14  fuer                          -0.3320     -0.1171     -0.0799
   15  承                             +0.3277     -0.0718     +0.1125
   16  igers                         -0.3275     +0.0072     -0.0642
   17  Pag                           -0.3227     -0.0818     -0.1064
   18  completely                    +0.3223     -0.0352     -0.0142
   19  在各                            +0.3216     -0.0304     +0.0242
   20  feet                          -0.3185     +0.0058     -0.0114
   21  轨                             +0.3144     -0.0438     +0.0653
   22  abeth                         -0.3143     +0.0366     -0.0137
   23  separately                    +0.3133     +0.1062     -0.0291
   24  ewa                           -0.3128     +0.1042     -0.0855
   25  axon                          +0.3125     +0.1593     -0.0415
   26  Banc                          +0.3123     +0.1394     +0.0914
   27  Bever                         +0.3119     +0.1116     +0.0290
   28  nationally                    +0.3107     -0.0575     -0.0580
   29  gos                           -0.3096     +0.0410     -0.0760
   30  二中                            -0.3095     -0.0204     +0.0854
