================================================================================
Model: M3
Layer: 29
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [3.475, 2.350, 1.537]
Frob: 5.48
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ECs                           -0.4007     +0.1400     +0.0474
    2  imir                          -0.3717     -0.0303     -0.1934
    3  hol                           -0.3639     -0.0581     -0.0138
    4  和老                            -0.3563     +0.0437     -0.0713
    5  egen                          -0.3546     +0.0423     +0.1779
    6  esy                           -0.3541     +0.0634     +0.0233
    7  geri                          -0.3457     +0.0086     +0.0982
    8  到哪里                           -0.3436     +0.0597     +0.0471
    9  与时                            -0.3344     +0.0371     -0.0323
   10  ifen                          -0.3342     +0.0410     +0.0799
   11  第三代                           +0.3252     +0.1258     +0.0169
   12  uwen                          -0.3246     +0.0270     -0.0006
   13  影响到                           -0.3245     -0.0637     -0.1281
   14  raman                         +0.3241     -0.0036     +0.0605
   15  Neg                           +0.3237     -0.0593     +0.1064
   16  去哪儿                           -0.3237     +0.0356     +0.0206
   17  uker                          -0.3226     +0.0094     -0.0373
   18  CRC                           -0.3224     +0.0841     +0.0322
   19  abolition                     -0.3221     -0.0343     -0.0566
   20  belief                        -0.3220     -0.0557     -0.0216
   21  蓄                             -0.3217     -0.1016     +0.0238
   22  -values                       -0.3211     +0.0043     -0.0009
   23  abad                          -0.3201     +0.0141     -0.0487
   24  -worth                        -0.3200     +0.0539     +0.0488
   25  stolen                        -0.3179     -0.0242     +0.0813
   26  ipur                          -0.3142     +0.0221     +0.1484
   27  ци                            -0.3079     +0.0239     -0.1229
   28  craft                         +0.3070     +0.1595     +0.1591
   29  esi                           -0.3067     -0.0019     -0.0125
   30  Fle                           +0.3065     +0.1487     -0.0339
