================================================================================
Model: M2
Layer: 55
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.308, 1.284, 0.785]
Frob: 3.38
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.8156     -0.8376     -0.2597
    2  ->                            +0.6338     -0.8864     -0.0541
    3  ->↵                           +0.5334     -0.5967     -0.0291
    4  sit                           +0.4643     +0.1307     +0.1222
    5  sits                          +0.4551     +0.1125     +0.2189
    6  sit                           +0.4433     +0.1556     +0.2187
    7  involving                     -0.4398     -0.0776     -0.1103
    8  Short                         +0.4352     -0.2975     +0.4173
    9  \((                           -0.4346     +0.0588     -0.0524
   10  )·                            +0.4344     -0.1209     -0.0529
   11  Short                         +0.4318     -0.2855     +0.4703
   12  一会儿                           +0.4272     -0.0539     -0.0224
   13  корот                         +0.4113     -0.0734     +0.1734
   14  \(|                           -0.4112     -0.2624     +0.1503
   15  )->                           +0.4072     -0.5816     -0.0898
   16  —                             +0.4059     -0.0575     +0.0686
   17  short                         +0.4019     -0.1858     +0.2883
   18  .short                        +0.3998     -0.1047     +0.2535
   19  -field                        +0.3988     -0.1139     +0.0093
   20  一會兒                           +0.3957     -0.0323     -0.0020
   21  \((                           -0.3936     -0.0198     +0.0247
   22  Ft                            +0.3903     -0.0349     +0.1963
   23  )→                            +0.3871     -0.3833     -0.2870
   24  _full                         +0.3846     +0.0600     +0.2047
   25  Sit                           +0.3807     +0.1084     +0.2339
   26  short                         +0.3799     -0.0712     +0.3050
   27  sitt                          +0.3783     +0.1738     +0.2429
   28  短                             +0.3762     -0.2085     +0.2888
   29  —↵                            +0.3760     +0.0431     -0.0230
   30  \((\                          -0.3714     -0.0883     +0.0495
