================================================================================
Model: M3
Layer: 47
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.824, 2.633, 1.684]
Frob: 6.48
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  #1                            +0.7130     -0.1876     +0.0286
    2  REF                           +0.4982     +0.5409     -0.2182
    3  ?"↵↵                          +0.4409     -0.0191     +0.1322
    4  !"↵↵                          +0.4192     +0.0264     +0.0764
    5  alternating                   +0.4003     +0.2907     -0.0494
    6  "?↵↵                          +0.3936     -0.0803     +0.1001
    7  50                            +0.3833     -0.0257     +0.0447
    8  -------------------------...     -0.3795     +0.0111     -0.0260
    9  -------------                 -0.3668     +0.0223     +0.0456
   10  。"↵↵                          +0.3648     +0.0178     +0.1164
   11  ?'↵↵                          +0.3646     -0.0375     +0.1485
   12  ?"↵                           +0.3513     +0.1115     +0.1202
   13  ^↵↵                           +0.3510     -0.0547     +0.0921
   14  -----------------             -0.3475     +0.0272     +0.1014
   15  坚持下去                          -0.3459     +0.0683     -0.0606
   16  Past                          +0.3449     -0.1257     -0.2215
   17  past                          +0.3437     -0.1377     -0.1334
   18  :**↵↵                         +0.3429     -0.0890     -0.0585
   19  ?**↵↵                         +0.3415     -0.0787     +0.0083
   20  Tro                           +0.3390     -0.0890     +0.0692
   21  suggests                      +0.3376     +0.0677     -0.0637
   22  kne                           +0.3375     -0.1950     -0.0002
   23  Past                          +0.3372     -0.1227     -0.1960
   24  "?                            +0.3363     -0.0287     +0.0240
   25  REL                           +0.3351     +0.2986     -0.0230
   26  ":↵↵                          +0.3332     -0.0064     -0.0212
   27  -------------------------...     -0.3317     +0.0320     -0.0327
   28  x                             +0.3315     +0.1424     -0.0580
   29  overall                       +0.3238     -0.0643     +0.2001
   30  靶                             +0.3237     +0.0384     -0.0696
