================================================================================
Model: M1
Layer: 5
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.092, 1.288, 0.807]
Frob: 4.71
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  Banks                         -0.4105     +0.1460     +0.0450
    2  钝                             -0.4006     +0.1729     -0.1023
    3  oule                          +0.3921     +0.0264     -0.0147
    4  aste                          +0.3813     +0.0576     +0.0658
    5  breakout                      +0.3715     +0.0559     -0.1050
    6  bite                          +0.3707     +0.1288     +0.2095
    7  之急                            -0.3551     +0.0472     +0.0853
    8  unker                         +0.3502     +0.0552     -0.1041
    9  幸存                            +0.3471     -0.0588     -0.0200
   10  栖                             -0.3459     +0.0723     +0.0958
   11  Hab                           -0.3433     +0.0869     +0.0249
   12  ogr                           +0.3398     -0.0042     +0.2527
   13  Hab                           -0.3389     +0.1630     -0.0047
   14  见图                            +0.3374     +0.0450     +0.0447
   15  Sv                            +0.3354     +0.1001     +0.0444
   16  dot                           +0.3354     +0.1293     -0.0184
   17  Assurance                     -0.3335     -0.0759     +0.1022
   18  eman                          +0.3311     -0.0644     -0.0842
   19  透视                            +0.3309     +0.0994     +0.0789
   20  ijn                           +0.3301     -0.0686     -0.0717
   21  sq                            +0.3299     +0.0982     -0.0578
   22  急                             -0.3299     +0.0927     -0.0534
   23  rette                         +0.3294     -0.1085     +0.0833
   24  Sentence                      +0.3280     +0.0077     +0.0061
   25  irie                          +0.3273     +0.0620     +0.0103
   26  Landing                       -0.3270     -0.0942     +0.0008
   27  polar                         +0.3265     +0.0286     -0.0129
   28  inp                           +0.3260     +0.1003     +0.0007
   29  yrus                          +0.3253     -0.0575     +0.1165
   30  arti                          +0.3229     +0.0800     +0.0022
