================================================================================
Model: M1
Layer: 43
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.544, 2.506, 1.607]
Frob: 6.46
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  r                             +0.7612     +0.1105     -0.3300
    2  r                             +0.6853     +0.0708     -0.1711
    3  {r                            +0.5751     +0.0850     -0.1107
    4  →r                            +0.4991     +0.0002     -0.2169
    5  ,r                            +0.4941     -0.0215     -0.0619
    6  *r                            +0.4849     -0.0371     -0.2004
    7  .r                            +0.4809     +0.1207     -0.0970
    8  }r                            +0.4698     +0.1583     -0.1603
    9  rö                            +0.4631     +0.1679     -0.2390
   10  rl                            +0.4435     +0.1228     -0.1913
   11  [r                            +0.4423     +0.0375     -0.1529
   12  (r                            +0.4391     -0.0582     -0.0522
   13  rr                            +0.4255     +0.1018     -0.2047
   14  rn                            +0.4213     +0.1164     -0.0165
   15  +r                            +0.4189     +0.0315     -0.1471
   16  rk                            +0.4174     +0.0782     -0.1667
   17  =r                            +0.4093     -0.0300     -0.1036
   18  /r                            +0.4047     +0.0766     -0.0452
   19  rut                           +0.4041     +0.1104     -0.2514
   20  rue                           +0.4040     +0.0543     -0.3632
   21  _r                            +0.4040     +0.0890     -0.1842
   22  rf                            +0.4027     +0.0156     -0.1829
   23  rism                          +0.3953     +0.1509     -0.1277
   24  𝑟                             +0.3919     +0.0380     -0.2065
   25  Ranger                        +0.3896     +0.0113     -0.2603
   26  raph                          +0.3875     +0.0920     -0.0828
   27  贴上                            -0.3858     +0.1286     -0.0435
   28  inite                         +0.3836     -0.0566     -0.1178
   29  rish                          +0.3779     +0.0669     +0.0297
   30  rRNA                          +0.3702     +0.1193     -0.0807
