================================================================================
Model: M2
Layer: 45
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.343, 1.290, 0.812]
Frob: 3.55
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  ‑                             +0.5720     +0.0631     +0.2165
    2  �                             +0.4622     +0.0411     +0.1227
    3  ––                            +0.4599     -0.0119     +0.0178
    4  ―                             +0.3962     -0.0275     -0.0011
    5  aal                           -0.3883     +0.0128     -0.0870
    6  wyn                           -0.3833     -0.0132     -0.1161
    7  ―                             +0.3832     -0.0173     +0.0226
    8  ->                            +0.3789     +0.0861     -0.0712
    9  —                             +0.3762     +0.0219     +0.0621
   10  chal                          -0.3709     -0.1942     +0.0510
   11  cze                           -0.3673     -0.1381     -0.0229
   12  ─                             +0.3577     -0.0477     -0.0058
   13  Angelo                        +0.3573     +0.1095     +0.1335
   14  ‐                             +0.3570     +0.0047     +0.1496
   15  ———                           +0.3560     -0.0039     -0.0215
   16  Remarks                       +0.3509     +0.0016     -0.1304
   17  magnific                      -0.3457     -0.1102     +0.0518
   18  �                             +0.3450     -0.0666     +0.1289
   19  －－                            +0.3406     -0.0396     -0.1263
   20  (‘                            +0.3401     -0.1420     +0.1676
   21  converted                     +0.3380     -0.0047     +0.1145
   22  Outline                       +0.3338     -0.1133     -0.2880
   23  赖以                            -0.3327     +0.1588     -0.0901
   24  ova                           -0.3323     +0.0528     -0.1249
   25  frug                          -0.3316     -0.0150     +0.2328
   26  laying                        -0.3310     +0.1414     -0.0250
   27  #77469                        +0.3293     +0.0302     +0.0434
   28  ・                             +0.3288     -0.0487     -0.0625
   29  人群                            +0.3278     -0.0214     -0.0378
   30  ポート                           +0.3273     -0.0212     -0.0145
