================================================================================
Model: M1
Layer: 42
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.223, 2.054, 1.771]
Frob: 6.12
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  intensity                     -0.4456     -0.0893     +0.1248
    2  positional                    -0.4066     -0.1516     +0.0093
    3  routine                       -0.4055     -0.0325     -0.0618
    4  arrangements                  -0.3916     -0.1752     +0.0183
    5  ARA                           +0.3898     +0.0296     -0.0145
    6  加固                            +0.3880     +0.1110     +0.0279
    7  uco                           +0.3848     +0.0430     -0.0401
    8  安全的                           +0.3657     +0.0707     +0.0352
    9  -cle                          +0.3644     -0.0585     +0.1110
   10  complexity                    -0.3642     -0.2917     -0.1479
   11  Rick                          -0.3616     -0.0830     +0.0042
   12  numeric                       -0.3601     -0.0685     -0.1296
   13  anti                          +0.3583     -0.0467     -0.0208
   14  YZ                            +0.3556     +0.1191     -0.0487
   15  rael                          +0.3550     -0.3168     +0.0501
   16  ADI                           +0.3547     -0.1462     +0.0730
   17  bro                           +0.3461     +0.0650     +0.0581
   18  swer                          +0.3451     -0.1134     -0.1329
   19  eken                          +0.3435     +0.0256     -0.0490
   20  possibly                      +0.3427     -0.0264     -0.0298
   21  关键的                           +0.3415     +0.0328     +0.0801
   22  forest                        -0.3408     +0.0068     -0.0205
   23  排列                            -0.3405     +0.1716     +0.0574
   24  n                             -0.3395     +0.0075     +0.2780
   25  routines                      -0.3395     -0.1176     -0.0084
   26  offerings                     -0.3384     +0.0081     -0.0741
   27  LOOK                          +0.3374     +0.0052     +0.0394
   28  老公                            -0.3362     +0.0407     +0.0142
   29  Referring                     +0.3359     -0.0635     -0.0842
   30  achieve                       -0.3346     +0.0420     -0.0783
