================================================================================
Model: M3
Layer: 12
Component: composed q_b[head] @ q_a (delta weights)
Clustering threshold: |cos(Dir0)| > 0.5
Number of clusters: 1
================================================================================

────────────────────────────────────────────────────────────────────────────────
Cluster 0: 128 heads
Heads: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127]
Avg intra-cluster |cos|: 0.973
Avg sigma: 0.0467
Head sigmas: ['0.073', '0.041', '0.050', '0.040', '0.037', '0.035', '0.047', '0.048', '0.042', '0.031', '0.034', '0.055', '0.051', '0.061', '0.050', '0.037', '0.041', '0.057', '0.074', '0.062', '0.059', '0.042', '0.041', '0.048', '0.042', '0.068', '0.046', '0.042', '0.046', '0.052', '0.051', '0.049', '0.043', '0.056', '0.047', '0.048', '0.056', '0.047', '0.042', '0.047', '0.042', '0.037', '0.047', '0.054', '0.043', '0.051', '0.046', '0.039', '0.045', '0.052', '0.042', '0.027', '0.048', '0.035', '0.059', '0.060', '0.030', '0.052', '0.039', '0.033', '0.039', '0.045', '0.069', '0.038', '0.043', '0.039', '0.030', '0.045', '0.052', '0.058', '0.041', '0.038', '0.037', '0.045', '0.040', '0.062', '0.050', '0.045', '0.039', '0.050', '0.104', '0.051', '0.052', '0.059', '0.043', '0.053', '0.062', '0.084', '0.037', '0.033', '0.038', '0.045', '0.045', '0.052', '0.039', '0.039', '0.036', '0.043', '0.041', '0.041', '0.051', '0.049', '0.046', '0.056', '0.023', '0.031', '0.048', '0.049', '0.034', '0.045', '0.039', '0.040', '0.034', '0.046', '0.044', '0.045', '0.027', '0.039', '0.068', '0.049', '0.041', '0.042', '0.046', '0.044', '0.073', '0.043', '0.045', '0.055']
────────────────────────────────────────────────────────────────────────────────

Top 50 tokens (by |score| of cluster average direction):

 Rank  Token                           Score
---------------------------------------------
    1  **:                           -0.3245
    2  Lower                         +0.2015
    3  幼儿                            -0.1916
    4  Best                          +0.1867
    5  Metadata                      +0.1788
    6  ethe                          +0.1772
    7  including                     +0.1734
    8  .**:                          -0.1731
    9  Technology                    +0.1712
   10  Work                          +0.1679
   11  RR                            +0.1679
   12  �                             -0.1629
   13  려                             +0.1628
   14  Assembly                      +0.1623
   15  infrastructure                +0.1599
   16  犬                             -0.1598
   17  South                         +0.1597
   18  Innovation                    +0.1591
   19  Infrastructure                +0.1589
   20  批判                            -0.1585
   21  Beta                          +0.1578
   22  tau                           +0.1576
   23  ~/                            -0.1572
   24  /g                            -0.1570
   25  Madison                       +0.1552
   26  lease                         +0.1551
   27  藏在                            +0.1547
   28  **.:                          -0.1540
   29  Lower                         +0.1540
   30  */                            -0.1537
   31  蒲                             -0.1528
   32  Include                       +0.1526
   33  臭                             -0.1520
   34  /cl                           -0.1513
   35  expertise                     +0.1501
   36  事先                            +0.1499
   37  """                           -0.1499
   38  VALUES                        -0.1495
   39  _:                            -0.1492
   40  Cumulative                    +0.1491
   41  bes                           -0.1482
   42  迹                             +0.1480
   43  Modified                      +0.1480
   44  глаза                         -0.1479
   45  mentor                        +0.1478
   46  Describe                      +0.1473
   47  家具                            -0.1473
   48  #128252                       -0.1472
   49  oho                           -0.1461
   50  104                           +0.1460

