================================================================================
Model: M1
Layer: 38
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.736, 2.484, 1.192]
Frob: 4.74
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  罕见的                           -0.3836     -0.0034     -0.0630
    2  remot                         -0.3617     -0.2595     -0.0430
    3  shr                           -0.3510     +0.2160     +0.0837
    4  reminis                       -0.3466     -0.0073     -0.0520
    5  surprisingly                  -0.3460     -0.2253     +0.1408
    6  怀念                            -0.3449     -0.0524     -0.0718
    7  ICO                           +0.3430     +0.0744     -0.0804
    8  柔软的                           -0.3415     +0.0606     -0.1172
    9  浜                             -0.3390     +0.0392     +0.1525
   10  ం                             -0.3382     +0.0732     -0.0359
   11  不小的                           -0.3355     +0.0255     +0.0565
   12  eff                           +0.3344     +0.0317     +0.0831
   13  Bat                           +0.3325     +0.0951     -0.1848
   14  发烧                            -0.3314     -0.1439     +0.0093
   15  rys                           -0.3309     +0.0257     +0.1871
   16  nels                          -0.3307     -0.0958     +0.0908
   17  distances                     -0.3304     -0.1843     -0.0551
   18  liw                           -0.3303     +0.1978     +0.1154
   19  距                             -0.3289     -0.1068     +0.1127
   20  расстоя                       -0.3286     -0.0708     -0.0668
   21  完全相同                          -0.3250     +0.0383     +0.0170
   22  chery                         -0.3213     +0.1436     +0.0878
   23  vale                          -0.3212     -0.0182     +0.0430
   24  distance                      -0.3180     -0.1536     -0.0340
   25  Distance                      -0.3178     -0.1042     -0.0478
   26  chaper                        -0.3174     +0.1781     +0.0417
   27  softening                     -0.3164     +0.0704     -0.0819
   28  的同学                           -0.3161     -0.0455     +0.1027
   29  glands                        -0.3158     -0.0767     +0.0583
   30  一趟                            +0.3155     -0.0949     -0.0300
