================================================================================
Model: M3
Layer: 41
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.226, 2.412, 1.848]
Frob: 6.09
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  REF                           -0.5454     -0.0230     +0.1035
    2  distracted                    -0.4334     -0.0310     +0.0283
    3  #1                            -0.4170     -0.3537     +0.1176
    4  ))?↵                          -0.4068     +0.0526     +0.1321
    5  alternating                   -0.4056     -0.1045     +0.0201
    6  PHYS                          -0.3882     +0.0458     +0.0118
    7  REF                           -0.3836     +0.0047     +0.0290
    8  REFERENCES                    -0.3749     -0.1674     -0.0173
    9  sensation                     -0.3678     +0.0237     -0.1722
   10  concentrated                  -0.3667     -0.0695     +0.2518
   11  DEN                           -0.3645     -0.0441     -0.1486
   12  distract                      -0.3642     -0.1539     +0.1149
   13  )?↵                           -0.3615     +0.0872     +0.2241
   14  familiar                      -0.3610     -0.1134     +0.0543
   15  distraction                   -0.3600     -0.0809     -0.0122
   16  distracting                   -0.3599     -0.1667     +0.0584
   17  engross                       -0.3583     -0.0146     +0.0253
   18  的游戏                           -0.3560     -0.0830     -0.1470
   19  Mead                          -0.3553     +0.0601     +0.0038
   20  entry                         +0.3544     -0.0359     +0.0961
   21  Overall                       +0.3542     +0.0865     +0.2857
   22  Overall                       +0.3515     +0.0800     +0.2879
   23  grafts                        -0.3515     +0.0507     +0.0485
   24  堕                             -0.3507     +0.0919     +0.0665
   25  sensations                    -0.3504     +0.0247     -0.1551
   26  其中包括                          +0.3478     -0.0031     +0.1055
   27  cii                           +0.3443     +0.0666     -0.0111
   28  deme                          -0.3388     +0.1046     +0.0565
   29  anyi                          +0.3385     +0.1127     -0.0055
   30  ENER                          -0.3367     +0.2210     -0.1024
