================================================================================
Model: M1
Layer: 45
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [4.089, 2.906, 2.135]
Frob: 6.63
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  frame                         +0.4048     -0.0656     +0.2894
    2  itti                          -0.3954     -0.0340     +0.0967
    3  r                             +0.3765     +0.2266     +0.5006
    4  .r                            +0.3662     +0.0093     +0.2962
    5  prototype                     +0.3644     +0.0228     -0.0517
    6  ogn                           -0.3634     +0.1114     +0.2028
    7  向北                            +0.3602     +0.0327     +0.0819
    8  威胁                            -0.3568     -0.0256     +0.0140
    9  prototypes                    +0.3523     +0.0534     -0.0994
   10  ,r                            +0.3503     -0.0421     +0.3361
   11  Measure                       -0.3499     -0.0501     +0.0243
   12  rion                          +0.3479     +0.1003     +0.2044
   13  -frame                        +0.3427     -0.1224     +0.2844
   14  inh                           +0.3383     +0.0679     +0.1127
   15  小山                            +0.3376     -0.0345     +0.0346
   16  aze                           -0.3334     -0.0385     +0.1739
   17  保养                            -0.3322     -0.0690     -0.0282
   18  oses                          -0.3319     +0.0482     +0.0439
   19  紫色                            +0.3312     +0.0487     -0.0581
   20  raised                        +0.3303     +0.0204     -0.0166
   21  hollow                        +0.3298     +0.0595     +0.1626
   22  少量                            +0.3272     +0.0320     +0.0149
   23  威脅                            -0.3243     -0.0579     +0.0849
   24  r                             +0.3237     +0.2014     +0.3285
   25  Prot                          +0.3236     +0.1009     +0.0260
   26  Loh                           +0.3215     +0.1190     +0.0648
   27  involving                     +0.3196     -0.0481     -0.0960
   28  —↵↵                           +0.3194     -0.1697     -0.0040
   29  —↵                            +0.3186     -0.2328     +0.0766
   30  ZE                            -0.3176     -0.0836     -0.0096
