================================================================================
Model: M3
Layer: 46
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [5.092, 1.949, 1.332]
Frob: 6.54
================================================================================

Top 30 tokens by |Dir 0|:

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  #1                            -0.5931     +0.3013     -0.0862
    2  DEN                           -0.5803     +0.0925     +0.0377
    3  REF                           -0.5333     -0.1246     -0.1080
    4  DEN                           -0.4661     +0.0539     +0.0436
    5  ahr                           -0.4588     +0.0216     -0.0600
    6  traditions                    +0.4546     +0.0788     +0.0767
    7  lowered                       -0.4464     -0.0027     +0.0740
    8  Den                           -0.4390     +0.0319     +0.1098
    9  Den                           -0.4338     +0.1093     +0.1268
   10  infrastructures               +0.4238     +0.2445     +0.0506
   11  REF                           -0.4147     -0.0708     -0.1548
   12  FOR                           -0.4086     -0.1185     -0.1035
   13  APPRO                         -0.4080     +0.0298     -0.1208
   14  Traditions                    +0.4067     +0.1547     +0.0946
   15  FOR                           -0.3976     -0.1046     -0.0152
   16  denied                        -0.3965     +0.0151     +0.1338
   17  降低了                           -0.3901     +0.0636     +0.0518
   18  lowering                      -0.3862     +0.0212     +0.0860
   19  denial                        -0.3850     +0.0576     +0.0723
   20  modifier                      -0.3846     -0.1657     -0.0475
   21  降低成本                          -0.3711     -0.0955     -0.0192
   22  rais                          -0.3683     +0.0176     +0.1071
   23  garden                        +0.3675     -0.1596     -0.0700
   24  Harm                          -0.3645     +0.0901     +0.0853
   25  denies                        -0.3639     +0.0828     +0.1164
   26  ancestral                     +0.3631     +0.1375     -0.0172
   27  carriage                      +0.3586     -0.1695     -0.0213
   28  grids                         +0.3574     -0.1903     -0.0118
   29  lowers                        -0.3545     -0.0109     +0.1280
   30  harm                          -0.3527     +0.0832     -0.0164
