================================================================================
Model: M1
Layer: 20
Component: o_proj (OUTPUT side, projected through lm_head)
Sigmas: [2.818, 1.321, 0.866]
Frob: 3.94
================================================================================

Top 30 tokens by |Dir 0| (what the model wants to OUTPUT):

 Rank  Token                              d0          d1          d2
------------------------------------------------------------
    1  hores                         +0.4335     -0.2792     +0.0623
    2  醉了                            -0.4265     +0.1004     -0.0894
    3  ela                           -0.4000     -0.0657     +0.0788
    4  citizen                       -0.3939     +0.1877     -0.0397
    5  -dr                           -0.3802     -0.1373     +0.0975
    6  Cit                           -0.3740     +0.0185     +0.1513
    7  �                             -0.3713     +0.0432     +0.0831
    8  ikus                          -0.3647     +0.0059     +0.1956
    9  三两                            -0.3628     +0.0218     +0.0815
   10  azio                          -0.3599     -0.1073     -0.0749
   11  hore                          +0.3509     -0.1617     -0.0041
   12  arko                          -0.3506     -0.0988     +0.1119
   13  为了保护                          -0.3496     -0.0815     -0.0572
   14  singly                        +0.3440     -0.0265     +0.1475
   15  anonymous                     -0.3422     -0.0003     -0.1232
   16  Citizen                       -0.3410     +0.1732     +0.0484
   17  eman                          +0.3392     +0.0636     -0.0237
   18  lest                          +0.3356     -0.0158     +0.0442
   19  coordinator                   -0.3349     -0.2664     +0.0991
   20  不同程度                          +0.3330     +0.1419     -0.0491
   21  cast                          +0.3330     +0.1163     -0.0738
   22  oche                          -0.3316     +0.1089     -0.0956
   23  勋                             -0.3313     +0.0441     +0.0558
   24  醉                             -0.3309     +0.1309     -0.1485
   25  竹林                            +0.3280     +0.0456     +0.0238
   26  anonymous                     -0.3278     -0.0258     -0.0737
   27  drunk                         -0.3271     -0.0350     -0.0443
   28  Woolf                         +0.3265     +0.1235     +0.0573
   29  -Dr                           -0.3263     -0.0996     +0.0395
   30  本法                            -0.3210     -0.0682     +0.0704
